PID,Gist_Hindi_by_Sant_Singh
P0043L41,"सुखों के दाता गुरु की आज्ञानुसार आचरण करना ही सर्वोत्तम है, क्योंकि वह प्राणी के समस्त अवगुणों को धोकर निर्मल कर देते हैं।॥ २॥"
P0043L42,"भक्तजन भगवान के समक्ष विनती करें कि हे प्रभु ! यह सेवक उनकी सेवा करना चाहता है, जिन्हें तूने अपनी सेवा में लगाया हुआ है।"
P0044L01,हे गुरुदेव ! आपकी प्रसन्नता से ही साधु-संगति एवं नाम-सिमरन का कठिन परिश्रम किया जा सकता है।
P0044L02,"सृष्टि के समस्त कार्य सच्चे पातशाह के अधीन हैं, वह स्वयं ही सब कुछ करने एवं करवाने वाला है।"
P0044L03,"मैं उस सतिगुरु पर बलिहारी जाता हूँ, जो सभी की कामनाएँ पूर्ण करने वाला है॥ ३॥"
P0044L04,हे मेरे मित्र। मुझे वह परमात्मा ही मात्र अपना सज्जन दिखाई देता है और केवल एक ही मेरा भ्राता तथा मित्र है।
P0044L05,समूचे ब्रह्माण्ड की सारी सामग्री एक परमेश्वर की ही है और केवल उस हरि ने ही प्रत्येक वस्तु को नियमबद्ध किया है।
P0044L06,"एक परमेश्वर में ही मेरा मन लीन हो गया, तभी मेरा मन निश्चल हुआ है।"
P0044L07,"हे नानक ! सत्य नाम ही उसके मन का आहार है, सत्य नाम उसकी पोशाक और सत्य नाम को ही उसने अपना आश्रय बनाया है ॥  ४ ॥  ५॥  ७५ ॥"
P0044L08,श्रीरागु महला ५ ॥
P0044L09,एक परमेश्वर की प्राप्ति से जीवन की समस्त वस्तुएँ (आनंद-उल्लास) प्राप्त हो जाती हैं।
P0044L10,यदि प्रभु का नाम-स्मरण किया जाए तो अमूल्य मनुष्य जीवन भी फलदायक हो जाता है।
P0044L11,"जिसके मस्तक पर श्रेष्ठ भाग्य लिखा हुआ हो, वह गुरु की कृपा-दृष्टि से परमेश्वर को प्राप्त कर लेता है॥१॥"
P0044L12,हे मेरे मन ! एक प्रभु के स्मरण में अपना चित्त लगा।
P0044L13,एक परमात्मा के अलावा अन्य कर्म-धर्म समस्त विपदा ही हैं। धन-दौलत की लालसा समस्त मिथ्या है॥ १॥ रहाउ॥
P0044L14,यदि सतिगुरु की कृपा-दृष्टि हो जाए तो लाखों साम्राज्य (उच्च पद) एवं ऐश्वर्य-वैभव के आनंद चरणों में बिखर जाएँ।
P0044L15,यदि सतिगुरु एक क्षण-मात्र के लिए भी मुझे परमेश्वर के नाम की अनुकंपा कर दें तो मेरी आत्मा एवं देहि शीतल हो जाएँगे।
P0044L16,"जिस प्राणी के भाग्य में पूर्व-कर्मों का भाग्य-फल लिखा हुआ हो, वही सतिगुरु के चरणों की शरण लेता है॥२॥"
P0044L17,"वह मुहूर्त एवं घड़ी भी फलदायक है, जब सत्य स्वरूप परमेश्वर से प्रेम किया जाता है।"
P0044L18,"जिस प्राणी को ईश्वर के नाम का आधार प्राप्त है, उसे कोई भी दुःख-दर्द उत्पन्न नहीं होता।"
P0044L19,"जिस प्राणी को गुरु ने भुजा से पकड़कर उबारा है, वह भवसागर से पार हो जाता है॥३॥"
P0044L20,"वह स्थान बहुत पावन एवं शोभायमान है, जहाँ प्रभु के नाम का यशगान (सत्संग) होता है।"
P0044L21,"उस व्यक्ति को ही प्रभु के दरबार का आश्रय मिलता है, जिसको पूर्ण गुरुदेव की प्राप्ति हो गई है।"
P0044L22,"हे नानक ! गुरुन्मुख प्राणी ने अपना घर वहाँ बनाया है, जहाँ न मृत्यु है, न जन्म है और न ही बुढ़ापा है ॥४॥६॥७६॥"
P0044L23,श्रीरागु महला ५ ॥
P0044L24,"हे जीव ! उस भगवान का ध्यान कर, जो राजाओं और महाराजाओं का भी बादशाह है।"
P0044L25,"उस भगवान की मन में आशा रख, जिस पर सब को भरोसा है।"
P0044L26,अपनी समस्त चालाकियाँ त्याग कर गुरु के चरणों में शरण प्राप्त कर ॥१॥
P0044L27,हे मेरे मन ! सुख और शांति से प्रभु के नाम का अभ्यास कर।
P0044L28,आठों पहर प्रभु का ध्यान करो तथा गोविन्द-हरि की महिमा नित्य ही गायन करो ॥१॥ रहाउ॥
P0044L29,"हे मेरे मन ! जिस परमात्मा के स्वरूप जितना बड़ा अन्य कोई नहीं है, तुम उस परमात्मा की शरण में रहो।"
P0044L30,उसकी आराधना करने से बहुत आत्मिक सुख मिलता है तथा पीड़ा एवं दुःख का बिल्कुल नाश हो जाता है।
P0044L31,इसलिए तू सदैव उस पारब्रह्म की सेवा अर्थात् यशोगान में रत रहा कर॥२॥
P0044L32,साधू-संतों की संगति करने से मन पवित्र हो जाता है और मृत्यु का फँदा कट जाता है।
P0044L33,"वह परमात्मा सुखों का दाता तथा भय नाश करने वाला है, इसलिए उसके समक्ष वंदना करो।"
P0044L34,"वह कृपालु तथा दयालु परमात्मा जिस पर अपनी कृपा-दृष्टि करता है, उसके समस्त कार्य सम्पन्न हो जाते हैं।॥३॥"
P0044L35,उस प्रभु को विशाल से भी विशाल कहा जाता है और उसका निवास ऊँचे से भी ऊँचा सर्वोच्च है।
P0044L36,वह वर्ण-भेद जाति-चिन्ह आदि से रहित है और मैं उसके मूल्य का वर्णन नहीं कर सकता।
P0044L37,हे सत्य परमेश्वर ! नानक पर अपनी दया-दृष्टि करके उसे अपना सत्य-स्वरूप नाम प्रदान करो ॥ ४॥ ७ ॥ ७७ ॥
P0044L38,श्रीरागु महला ५ ॥
P0044L39,"जो व्यक्ति प्रभु का नाम-सिमरन करता है, वह इहलोक में सुखी रहता है तथा उसका मुख प्रभु की सभा में उज्ज्वल होता है"
P0044L40,"किन्तु प्रभु का नाम पूर्ण गुरु द्वारा ही प्राप्त होता है, वह समस्त लोकों में प्रसिद्ध हो जाता है।"
P0044L41,वह सत्य परमेश्वर साधसंगत के गृह में निवास करता है॥ १॥
P0045L01,हे मेरे मन ! तू हरि-परमेश्वर के नाम का ध्यान किया करो।
P0045L02,चूंकि भगवान का नाम-सिमरन ही सदैव साथ रहता है और सहायक होता है जो आगे जाकर यमों के कष्टों से छुड़ा लेता है॥ १॥ रहाउ॥
P0045L03,हे जीव ! दुनिया का दिया हुआ सम्मान कभी काम नहीं आता।
P0045L04,"माया का रंग फीका है, जो अन्त में नष्ट हो जाता है।"
P0045L05,"जिसके हृदय में प्रभु वास करता है, वही आदरणीय पूर्ण एवं मुख्य है॥२॥"
P0045L06,हे प्राणी ! अपनी अहं-भावना त्याग कर संतों के चरणों की धूल हो जाओ।
P0045L07,व्यर्थ के उपाय तथा चतुराईयों समस्त त्याग दे और गुरु के चरणाश्रय में आ जा।
P0045L08,"केवल वहीं नाम रूपी रत्न को प्राप्त करता है, जिसके मस्तक पर भाग्य रेखाएँ उज्ज्वल होती हैं॥३ ॥"
P0045L09,"हे सज्जनो ! जिसको परमात्मा स्वयं प्रदान करता है, वही नाम को प्राप्त करता है।"
P0045L10,"जिस मनुष्य ने अपना अहंत्व रूपी रोग दूर कर लिया है, वही सतिगुरु की सेवा कर सकता है।"
P0045L11,"हे नानक ! जिसे गुरु मिला है, उसके सभी दुःख-संताप नष्ट हो गए हैं ॥ ४॥ ८ ॥ ७८ ॥"
P0045L12,श्रीरागु महला ५ ॥
P0045L13,एक परमात्मा ही मनुष्य का ज्ञाता है तथा वही एक उसका संरक्षक है।
P0045L14,केवल वही मन का सहारा है और प्राणाधार वही एक प्रभु है।
P0045L15,उस पारब्रह्म परमात्मा की शरण लेने से सदैव सुखों की उपलब्धि होती है॥ १॥
P0045L16,हे मेरे मन ! प्रभु-प्राप्ति के अपने अन्य सभी उपाय त्याग दे।
P0045L17,केवल परिपूर्ण गुरु की नित्य आराधना करो तथा गुरु के मार्गदर्शन से उसी एक परमात्मा में लिवलीन हो जाओ ॥१॥ रहाउ ॥
P0045L18,"एक ईश्वर ही सच्चा भ्राता, मित्र एवं माता-पिता है।"
P0045L19,"मेरे मन के भीतर उस प्रभु का ही आश्रय है, जिसने मुझे आत्मा तथा यह देह प्रदान की है।"
P0045L20,"उस प्रभु को, जो संसार की प्रत्येक वस्तु अपने अधीन रखता है, मुझे अपने मन में कदापि विस्मृत न हो।॥ २॥"
P0045L21,वह सर्वव्यापक परमेश्वर हृदय रूपी घर में भी विद्यमान है और शरीर के बाहर भी मौजूद है। वह स्वयं ही समस्त स्थानों के भीतर बसा हुआ है।
P0045L22,"जिस सृष्टिकर्ता ने मनुष्य एवं अन्य जीवों की रचना की है, उसकी आठों पहर आराधना करनी चाहिए।"
P0045L23,यदि एक ईश्वर के प्रेम में मग्न हो जाओगे तो तुम्हारे समस्त शोक-संतापों का विनाश हो जाएगा। ३॥
P0045L24,"एक परमात्मा ही पारब्रहा है, अन्य कोई नहीं।"
P0045L25,"मनुष्य का जीवन एवं शरीर समस्त उसी की देन हैं, जो कुछ उसे अच्छा लगता है, वही होता है।"
P0045L26,"हे नानक ! परिपूर्ण गुरु द्वारा मनुष्य भी सम्पूर्ण हो गया है, क्योंकि उसने गुरुन्मुख होकर भगवान का नाम-सिमरन किया है॥ ४॥ ६॥ ७६॥"
P0045L27,श्रीरागु महला ५ ॥
P0045L28,"जिन्होंने सतिगुरु के उपदेश का चिन्तन किया है, वह मनुष्य पूर्ण व श्रेष्ठ हो जाते हैं।"
P0045L29,"जिन पर भगवान स्वयं कृपालु होता है, उनके मन में ज्ञान उत्पन्न होता है,"
P0045L30,"जिनके माथे पर शुभ भाग्य अंकित होते हैं, वही भगवान का नाम-सिमरन प्राप्त करते हैं।॥ १॥"
P0045L31,"हे मेरे मन ! इसीलिए तुम उस एक परमात्मा के नाम का ध्यान करो,"
P0045L32,क्योंकि नाम-सिमरन से ही मानव के जीवन में श्रेष्ठ सुख उत्पन्न होते हैं तथा प्रभु के दरबार में यह प्रतिष्ठित पोशाक पहन कर जाएगा ॥ १॥ रहाउ॥
P0045L33,भगवान की प्रेमा-भक्ति करने से मनुष्य जन्म-मरण के भय से मुक्त होता है।
P0045L34,संतों की संगति करने से मनुष्य निर्मल हो जाता है जिसके फलस्वरूप स्वामी (प्रभु) स्वयं उसका पालन-पोषण करता है।
P0045L35,उनके आवागमन (जन्म-मरण) की मैल कट जाती है और वे सतिगुरु का दर्शन करके कृतार्थ हो जाता है। २ ॥
P0045L36,परम-परमेश्वर कण-कण में विद्यमान है।
P0045L37,"केवल परमात्मा ही समस्त प्राणियों का स्वामी है, अन्य दूसरा कोई नहीं।"
P0045L38,"उसकी शरण में आने से जीव को जन्म-मरण के बंधनों से मुक्ति मिल जाती है, जो कुछ परमेश्वर करना चाहता है, वही होता है॥३॥"
P0045L39,"जिनके हृदय में सर्वज्ञाता परमेश्वर वास करता है, वह सम्पूर्ण एवं प्रभुख है।"
P0045L40,वह जीव शुभ गुणों के कारण श्रेष्ठ पुरुष हो जाते हैं। उनकी सुकीर्ति पवित्र होकर सम्पूर्ण विश्व में फैल जाती है।
P0045L41,"हे नानक ! जिन्होंने मेरे परमात्मा का ध्यान किया है, मैं उन पर कुर्बान हूँ॥ ४॥ १०॥ ८०॥"
P0046L01,श्रीरागु महला ५ ॥
P0046L02,सतिगुरु के मिलन से समस्त दुःख निवृत्त हो गए हैं और सुख स्वरूप परमात्मा हृदय में आ बसा है।
P0046L03,एक ईश्वर के साथ सुरति लगाने से अन्तर्मन में पवित्र ज्ञान-ज्योति का प्रकाश हो गया है।
P0046L04,साधू-संतों से भेंट करके मेरा चेहरा उज्ज्वल हो गया है तथा पूर्व कर्मों के लिखे शुभ लेख के कारण मैंने परमात्मा को प्राप्त कर लिया है।
P0046L05,सृष्टि के स्वामी गोविंद तथा सत्य नाम का यश सदैव करने से मैं निर्मल हो गया हूँ॥१॥
P0046L06,हे मेरे मन ! गुरु के शब्द द्वारा ही सुख प्राप्त होता है।
P0046L07,"सतिगुरु की सेवा कभी व्यर्थ नहीं जाती, अपितु गुरु की सेवा से अवश्य फल प्राप्त होता है।॥१॥ रहाउ॥"
P0046L08,भगवान ने मेरी मनोकामनाएँ पूर्ण कर दी हैं और मुझे नाम रूपी खजाना प्राप्त हो गया है।
P0046L09,"अंतर्यामी सदैव तेरे अंग-संग है तथा वह निरपेक्ष कर्ता है, उसकी पहचान कर लो।"
P0046L10,"गुरु कृपा द्वारा नाम-सिमरन, दान-पुण्य एवं पवित्र तीर्थ-स्नान करने से मानव का मुख उज्ज्वल हो जाता है अर्थात् ख्याति प्राप्त होती है।"
P0046L11,"ऐसे व्यक्ति के अन्तर्मन से काम, क्रोध, लोभ, मोह इत्यादि सब नष्ट हो जाते हैं तथा अहंकार का त्याग कर देते हैं ॥ २ ॥"
P0046L12,"जिन्होंने भगवान के नाम-सिमरन का जीवन में लाभार्जित किया है, उनके समस्त कार्य सम्पूर्ण हो जाते हैं।"
P0046L13,ऐसे जीवों को भगवान स्वयं कृपा करके अपने साथ मिलाता है और उन्हें अपना नाम-सिमरन प्रदान करता है।
P0046L14,"जिन पर भगवान कृपालु हुआ है, उनका आवागमन समाप्त हो गया है।"
P0046L15,उन्होंने गुरु के उपदेश का मनन करके सत्यस्वरूप परमात्मा का दर प्राप्त किया है॥ ३॥
P0046L16,परमात्मा अपनी दया-दृष्टि से भक्तों की स्वयं विषय-विकारों से रक्षा करता है।
P0046L17,"इहलोक एवं परलोक में उनके मुख उज्ज्वल हो जाते हैं, जो पारब्रह्म के गुणों को हृदय में स्मरण करते हैं।"
P0046L18,दिन के आठों पहर ही वह ईश्वर के सर्वगुणों का यशोगान करते हैं तथा उसकी अनन्त प्रीत में मग्न हैं।
P0046L19,हे नानक ! मै सुखों के सागर पारब्रह्म पर सदैव बलिहारी जाता हूँ ॥४॥११॥८१॥
P0046L20,श्रीरागु महला ५ ॥
P0046L21,मानव को यदि पूर्ण सतिगुरु मिल जाए तो उसे नाम रूपी खजाना मिल जाता है।
P0046L22,हे प्रभु ! तुम मुझ पर अपनी ऐसी कृपा करो कि मैं तुम्हारे नामामृत का जाप करूँ।
P0046L23,मेरे जन्म-मरण का दुख दूर हो जाए तो मेरा सहजावस्था में ध्यान लग जाए॥१॥
P0046L24,हे मेरे मन ! तुम प्रभु की शरण प्राप्त करो।
P0046L25,"उस एक परमात्मा के नाम का ध्यान करो, क्योंकि उस हरि के बिना अन्य कोई नहीं है ॥१॥ रहाउ ॥"
P0046L26,उस परमेश्वर का मूल्यांकन कदापि नहीं किया जा सकता। क्योंकि वह परमात्मा अथाह गुणों का सागर है।
P0046L27,सौभाग्य के कारण तुम सत्संग में मिल जाओ तथा वहाँ से श्रद्धा रूपी मूल्य देकर गुरु से सत्य उपदेश खरीद लो।
P0046L28,"उस सुखों के सागर की सेवा कर अर्थात् श्रद्धा सहित उस परमात्मा की आराधना कर, वह राजाओं का भी महाराजा सबसे बड़ा मालिक है॥ २॥"
P0046L29,हमें प्रभु के चरण कवलों का सहारा है क्योंकि उसके अतिरिक्त अन्य कोई ठिकाना नहीं।
P0046L30,हे परमेश्वर ! तुम्हारी शक्ति से ही मेरा अस्तित्व है। मुझे आपका ही आश्रय है और आपके सत्य द्वारा ही मैं जीवित हूँ।
P0046L31,"हे प्रभु ! सम्मानहीनों का ही तू सम्मान है जिन पर तुम्हारी कृपा हुई है, वह तुझ में ही विलीन हुए हैं।॥३॥"
P0046L32,"गोविन्द को आठों प्रहर जपते रहना चाहिए, उसकी आराधना करनी चाहिए।"
P0046L33,"भगवान अपनी कृपा करके जीवों के प्राणों, तन, धन की विषय-विकारों से रक्षा करता है।"
P0046L34,"हे नानक ! परमात्मा ने मेरे समस्त पाप दूर कर दिए हैं, चूकि वह पारब्रह्म क्षमाशील है॥ ४॥ १२॥ ६२॥"
P0046L35,श्रीरागु महला ५ ॥
P0046L36,"भक्तों की उस परमसत्य परमात्मा से प्रीति लगी है, जो न कभी जन्म लेता है और न ही मरता है।"
P0046L37,जुदा किए भी वह जुदा नहीं होता क्योंकि वह परमात्मा कण-कण में विद्यमान है।
P0046L38,वह प्रभुअनाथों के दुःख-दर्द नाश करता है और अपने भक्तों को आदर-सहित मिलता है।
P0046L39,हे मेरी माता ! वह माया रहित प्रभु आश्चर्यजनक स्वरूप वाला है तथा गुरु ने आकर मुझे उससे मिला दिया है॥१॥
P0046L40,हे भाई ! उस परमेश्वर को अपना मित्र बना।
P0047L01,मोह-माया की प्रीति को धिक्कार है। इससे कोई भी सुखी दिखाई नहीं देता ॥१॥ रहाउ॥
P0047L02,"वह परमेश्वर सर्वज्ञ, महान दाता, शीलवान, पवित्र, सुन्दर तथा बेअंत है।"
P0047L03,"वह प्राणी का साथी, सहायक, महान्, अनंत, विशाल एवं सर्वोच्च है।"
P0047L04,"परमात्मा को न बालक अथवा न ही वृद्ध समझना चाहिए, उस परमात्मा का दरबार सदैव स्थिर है।"
P0047L05,"हम जो कुछ भी परमात्मा के समक्ष श्रद्धापूर्वक याचना करते हैं, वह उससे प्राप्त कर लेते हैं। सर्वगुण सम्पन्न परमात्मा आश्रयहीनों का आश्रय है॥२॥"
P0047L06,"जिस प्रभु के दर्शन-मात्र से समस्त पाप दूर हो जाते हैं, मन एवं देह शीतल हो जाते हैं"
P0047L07,"तथा मन की समस्त भ्रांतियाँ मिट जाती हैं, उस प्रभु को एकाग्रचित होकर स्मरण करना चाहिए।"
P0047L08,"वह परमेश्वर गुणों का भण्डार है, वह सदैव निरोग एवं दानशील है। उसकी अनुकंपा अपरम्पार है।"
P0047L09,"दिन एवं रात उसे कभी भी विस्मृत मत करो, सदैव उस पारब्रह्म की आराधना करते रहनी चाहिए ॥ ३॥"
P0047L10,"जिसके माथे पर पूर्व से ही शुभ कर्मो का भाग्य लिखा है, गोविन्द उसका घनिष्ठ बना है।"
P0047L11,"उसे मैं अपना तन, मन, धन सब कुछ समर्पित करता हूँ और यह जीवन भी उस परमेश्वर पर न्योछावर करता हूँ।"
P0047L12,सर्वव्यापक परमात्मा नित्य ही जीवों को अपने समक्ष देखता एवं सुनता है। वह घट-घट प्रत्येक हृदय में व्याप्त है।
P0047L13,परमात्मा इतना दयालु-कृपालु है कि वह कृतघ्नों का भी पालन-पोषण करता है। हे नानक ! वह परमात्मा सदैव क्षमाशील है ॥४ ॥१३ ॥८३ ॥
P0047L14,श्रीरागु महला ५ ॥
P0047L15,"जिस प्रभु ने यह मन, तन व धन इत्यादि सब कुछ दिया है तथा इनको सजा संवार कर रखा हुआ है।"
P0047L16,उस प्रभु ने सर्वकला सम्पूर्ण शक्तियों द्वारा शरीर की रचना की है और अन्तर्मन में अपनी ज्योति प्रकट की है।
P0047L17,उस प्रभु की सदा आराधना करनी चाहिए तथा हृदय में बसाकर रखें॥१॥
P0047L18,हे मेरे मन ! ईश्वर के बिना अन्य कोई समर्थ नहीं।
P0047L19,सदैव उस प्रभु की शरण में रहने से तुझे कोई विपत्ति नहीं आएगी॥ १॥ रहाउ ॥
P0047L20,"स्वर्ण, चांदी, माणिक्य, हीरे-मोती रत्न पदार्थ समस्त मिट्टी समान हैं।"
P0047L21,"माता-पिता, सगे-संबंधी, रिश्तेदार समस्त झूठे रिश्तेदार हैं।"
P0047L22,"जिस प्रभु ने सब कुछ उत्पन्न किया है, उसे स्वेच्छाचारी एवं अपवित्र पशु समान जीव स्मरण नहीं करता॥२॥"
P0047L23,"परमेश्वर शरीर के अन्दर एवं बाहर परिपूर्ण है, वह कण-कण में व्याप्त है लेकिन उसे मनुष्य दूर समझता है।"
P0047L24,"जीव के अन्तर्मन में भोग विलास की तृष्णा है, वह विषय-विकारों में लिप्त है और उसका हृदय अहंकार एवं झूठ में भरा हुआ है।"
P0047L25,प्रभु की भक्ति एवं नाम-सिमरन से वंचित होने के कारण प्राणियों के समुदाय योनियों में फँसकर आते जाते रहते हैं। ३॥
P0047L26,हे करुणा निधान पारब्रह्म ! इन जीव-जन्तुओं पर कृपा-दृष्टि करके उनकी रक्षा करो।
P0047L27,यमराज बड़ा विकट हो गया है। प्रभु के बिना अन्य कोई रखवाला नहीं है।
P0047L28,नानक जी का कथन है कि हे प्रभु! अपनी कृपा करो तांकि मैं कभी भी तेरा नाम न भूलूं ॥४॥१४॥८४ ॥
P0047L29,श्रीरागु महला ५ ॥
P0047L30,"मनुष्य गर्व से कहता है कि यह तन-मन एवं धन मेरा है, इस देश पर शासन मेरा है।"
P0047L31,"मैं सुन्दर स्वरूप वाला हूँ तथा मेरे पुत्र हैं, स्त्री है, पुत्री है और अनेकानेक रंगों के भेष मैं ही धारण कर सकता हूँ।"
P0047L32,"हे भाई ! जिस मानव के हृदय में प्रभु नाम का निवास नहीं है, उसके समस्त किए काम गणना में नहीं आते ॥ १ II"
P0047L33,हे मेरे मन ! हरि-परमात्मा के नाम की आराधना करो
P0047L34,प्रतिदिन साधु-संतों की संगति में रहने का प्रयास करो और गुरु के चरणों में अपने चित्त को लगाओ ॥१॥ रहाउ॥
P0047L35,"हरि-नाम, जो सर्व प्रकार की निधि है, उसका चिन्तन तभी हो सकता है, यदि मनुष्य के माथे पर शुभ भाग्य अंकित हो।"
P0047L36,गुरु के चरणों में लगने से समस्त कार्य संवर जाते हैं।
P0047L37,इस प्रकार अहंकार के रोग एवं शंकाएँ निवृत्त हो जाती हैं और प्राणी का आवागमन कट जाता है और उसे मोक्ष की प्राप्ति होती है।॥२॥
P0047L38,"इसलिए हे जीव ! तू साधू की संगति कर, जो अठसठ तीथों के स्नान के समान अति पावन है।"
P0047L39,"नाम-सिमरन से तुम्हारी आत्मा, प्राण, मन एवं देहि प्रफुल्लित हो जाएँगे और यही जीवन का सत्य मनोरथ है।"
P0048L01,यहाँ पर तुझे मान-सम्मान प्राप्त होगा और प्रभु के दरबार में भी श्रेष्ठ स्थान प्राप्त होगा ॥३॥
P0048L02,"अकाल पुरुष स्वयं ही करने-करवाने वाला है। परमेश्वर सर्व-कर्ता है, सब कुछ उसके अधीन है।"
P0048L03,"वह सर्वव्यापक प्रभु कण-कण में विद्यमान है, जो स्वयं ही मारने वाला तथा जीवन दाता है। अन्दर तथा बाहर वह प्राणी का साथी है।"
P0048L04,"हे नानक ! प्रभु समस्त जीवों का स्वामी है, अत : मैं उसकी शरण में आया हूँ ॥४॥१५॥८५॥"
P0048L05,श्रीरागु महला ५ ॥
P0048L06,जब मेरा गुरु मुझ पर कृपालु हुआ तो मैं अपने प्रभु की शरण में आ गया।
P0048L07,सतिगुरु के उपदेश द्वारा मेरे समस्त बन्धन दूर हो गए हैं।
P0048L08,जब अन्तर्मन राम नाम के सिमरन में लीन हो गया तो मैं गुरु की कृपा से कृतार्थ हो गया।॥ १॥
P0048L09,हे मेरे मन ! सतिगुरु की सेवा श्रेष्ठ है।
P0048L10,"उस प्रभु को एक पल के लिए भी विस्मृत मत करना, तभी वह तुझ पर कृपा-दृष्टि करेगा ॥ रहाउ॥"
P0048L11,"हमें प्रतिदिन उस गोविन्द-प्रभु का यशगान करना चाहिए, जो मनुष्य के समस्त अवगुणों को निवृत्त करने वाला है।"
P0048L12,अनेक व्यक्तियों ने माया के प्रपंच करके देख लिए हैं किन्तु हरि-नाम के अलावा सुख नहीं मिलता।
P0048L13,"जो व्यक्ति भगवान की उपमा करने में मग्न रहते हैं, वे सहज ही भवसागर से पार हो जाते हैं ॥ २ ॥"
P0048L14,"लाखों तीर्थों के स्नान, लाखों व्रत रखने व इन्द्रियों को विषय-विकारों से रोकने का फल संतजनों की चरण-धूलि ग्रहण करने से ही प्राप्त हो जाता है।"
P0048L15,"हे भाई ! मानव किससे छिपकर पाप कमाता है, जबकि वह प्रभु सदैव समक्ष देख रहा है।"
P0048L16,मेरा परिपूर्ण परमेश्वर सर्वत्र व्याप्त हो रहा है ॥३॥
P0048L17,"सत्य परमेश्वर का साम्राज्य सत्य है, उसका आदेश भी सत्य है, उस सत्य परमेश्वर का स्थिर रहने वाला स्थान भी सत्य है।"
P0048L18,उसने सत्य शक्ति धारण की हुई है और उसने सत्य-सृष्टि की रचना की हुई है।
P0048L19,"हे नानक ! मैं उस पर कुर्बान जाता हूँ, जो सत्यस्वरूप परमात्मा का नाम-सिमरन करता है ॥ ४ ॥ १६ ॥ ८६ ॥"
P0048L20,श्रीरागु महला ५ ॥
P0048L21,हे भाग्यवान पुरुष ! परिश्रम करके हरि नाम सिमरन रूपी आत्म-धन एकत्र करो।
P0048L22,"सत्संग में जाकर हरि नाम का सिमरन किया जाता है, जिससे जन्म-जन्म के पापों की मैल कट जाती है। १॥"
P0048L23,हे मेरे मन ! राम-नाम रूपी जाप का सिमरन करो।
P0048L24,इससे तुझे मनोवांछित फल प्राप्त होंगे और तुम्हारे दुख तथा संताप सब नष्ट हो जाएँगे। ॥ रहाउ ॥
P0048L25,"जिस भगवान को पाने के लिए यह मानव-देह को धारण किया है, वह प्रभु अपने अंग-संग ही देख लिया है।"
P0048L26,"वह परिपूर्ण प्रभु जल में, धरती में, गगन में सर्वत्र व्यापक है, वह सब प्राणियों को दया की दृष्टि से देखता है ॥२॥"
P0048L27,सच्चे स्वामी प्रभु के साथ प्रीति लगाने से तन-मन सभी पवित्र हो जाते हैं।
P0048L28,"जो प्राणी प्रभु के चरणों का ध्यान करता है, मानो उसने समस्त जप-तप (उपासना-तपस्या) कर लिए हैं।॥३॥"
P0048L29,"अमृत रूपी हरि का नाम हीरे, जवाहररत्नों की भाँति अमूल्य है।"
P0048L30,"हे नानक ! जिसने प्रेम भाव से भगवान की महिमा का गायन किया है, उसे सहज ही अच्युत सुख के आनंद का रस प्राप्त हुआ है ॥४॥१७॥८७॥"
P0048L31,श्रीरागु महला ५ ॥
P0048L32,वह धार्मिक शास्त्र उचित है और वही शगुन शुभ है जिसके द्वारा हरि-नाम का सिमरन किया जाए।
P0048L33,जिस मानव जीव को गुरु ने चरण कमल रूप धन दिया है उस आश्रयहीन व्यक्ति को आश्रय मिल गया।
P0048L34,आठ पहर भगवान के गुणों का गायन करना ही सत्य राशि है तथा सत्य संयम है।
P0048L35,भगवान स्वयं जिनको कृपा करके मिला है वह जन्म-मरण के चक्कर से मुक्त हो जाता है।॥१॥
P0048L36,"हे मेरे मन ! तू सदैव एकाग्रचित होकर भगवान का भजन किया कर,"
P0048L37,चूंकि भगवान तो प्रत्येक हृदय के अन्दर समाया हुआ है तथा जीव के साथ होकर सहायता करता है॥१॥ रहाउ॥
P0048L38,जब प्रभु स्मरण किया तो इतने सुखों की उपलब्धि होती है कि उनकी गिनती नहीं हो सकती।
P0048L39,"जिसने भी हरि रस को चखा है, वह तृप्त हो गया तथा उस रस को वही आत्मा जानती है।"
P0049L01,संतों की संगति द्वारा क्षमावान प्रियतम प्रभु ह्रदय में बसता है।
P0049L02,जिसने अपने प्रभु नाम का सिमरन किया है। वह राजाओं का भी राजा है॥ २॥
P0049L03,"जिस समय हरि नाम के यश व गुणों का चिन्तन किया जाए, वह करोड़ों तीर्थों के स्नान के पुण्य-फल के समान है।"
P0049L04,"हरि स्मरण द्वारा रसना गुणों वाली हो जाती है, पुनः उसके तुल्य कोई दान नहीं है।"
P0049L05,"अकालपुरुष दयालु एवं मेहरबान है, वह अपनी कृपा-दृष्टि द्वारा जीव के मन व तन में विराजमान होता है।"
