PID,Trans_Hindi_by_Sahib_Singh,Note_by_Sahib_Singh,Bhaav_by_Sahib_Singh,PadArath_by_Sahib_Singh,
P0051L15,जिस परमात्मा ने तुझे पैदा करके सुंदर बनाया है~ उसका सिमरन कर~ (विकारों से तेरा) बचाव हो जाएगा।1।,,,जिनि = जिस (परमात्मा) ने। तूं = तूझे। साजि = पैदा कर के। सवारिआ = सुंदर बनाया। उधारु = (विकारों से) बचाव।1।,
P0051L16,हे मन! उस परमात्मा का नाम जप। जो एक खुद ही खुद है और जो बेअंत है।,,,अपारु = बेअंत।,
P0051L17,जिसने ये जीवात्मा दी है मन दिया है और शरीर दिया है~ जो सभ जीवों के हृदय का आसरा है।1।रहाउ।,,,जिनहि = जिसने। रिदे का = हृदय का। आधारु = आसरा।1। रहाउ।,
P0051L18,जिन लोगों पे जगत का मोह दबाव डाले रखता है~ वह काम में~ क्रोध में~ अहंकार में मस्त रहते हैं।,,,कामि = काम में। माते = मस्त। विआपिआ = जोर डाले रखता है। संसारु = जगत (का मोह)।,
P0051L19,(इन विकारों से बचने के लिए~ हे भाई!) गुरू की शरण पड़~ गुरू की चरणी लग (गुरू का आसरा लेने से अज्ञानता का) घोर अंधकार रूप दुख मिट जाता है।2।,,,अंधारु = घोर अंधकार।2।,
P0051L20,वह सेवा~ संतोख व दया (की कमाई) कमाता है~ और यही है श्रेष्ठ करणी है।,,,सतु = दान~ सेवा। सार = श्रेष्ठ।,
P0051L21,जिस (भाग्यशाली मनुष्य) को निरंकार प्रभू (अपने नाम की दात) देता है~ वह स्वै भाव छोड़के सभ की चरण धूड़ बनता है। ।3।,,,आपु = स्वैभाव। रेणा = चरणधूड़। देइ = देता है।3।,
P0051L22,हे प्रभू! जो ये जगत दिखाई देता है सारा तेरा ही रूप दिखता है। तेरा ही पसारा हुआ ये पसारा दिखता है।,,,पसरिआ = बिखरा हुआ।,
P0051L23,हे नानक! कह– गुरू ने जिस मनुष्य के मन की भटकन दूर कर दी है~ उस को~ यही सोच बनी रहती है कि हर जगह तू ही तू है।4।25।95।,,,गुरि = गुरू ने। बीचारु = सोच।4।,
P0051L24,,,,,
P0051L25,(हे भाई!) सारा जगत (शास्त्रों के अनुसार नीयत) बुरे कर्मों और अच्छे कर्मों (की विचार) में ही डूबा हुआ है।,,,दुक्रित = (शास्त्रों अनुसार नीयत) बुरे काम। सुक्रित = (नीयत) अच्छे काम। मंधे = बीच। सगलाणा = सारा।,
P0051L26,परमात्मा की भगती करने वाला मनुष्य इन दोनों विचारों से ही मुक्त रहता है (कि शास्त्रों अनुसार ‘दुक्रित’ कौन से हैं और ‘सुक्रित’ कौन से हैं)~ पर ऐसा कोई विरला ही मिलता है।1।,,,जाणा = जाना।1।,
P0051L27,हे स्वामी! तू सब जीवों में समाया हुआ है और सबको पालनेवाला है। तू सबसे बड़ा है~ सभ में व्यापक है।,,,ठाकुरु = पालणहार। सरबे = सभ जीवों मे।,
P0051L28,सबके दिल की जानने वाला है। (हे स्वामी! इससे ज्यादा तेरे बाबत) मैं (क्या) कहूँ और क्या सुनूँ? ।1।रहाउ।,,,किआ कहउ = मैं क्या कहूँ? किआ सुणउ = मैं क्या सुनूँ? सुआमी = हे स्वामी। सुजाणा = सबके दिल की जानने वाला।1। रहाउ।,
P0051L29,हे संत जनों! हर जगह जगत के मूल-प्रभू को देखने वाला और सभी को एक-सी प्रेम निगाह से देखने वाला करोड़ों में कोई एक होता है।,,,मान = आदर। अभिमान = अपमान~ निरादर।,
P0051L30,जो मनुष्य (जगत में मिलते) आदर या निरादरी (के अहसास) में फंसा रहता है~ वह परमात्मा का असल सेवक नहीं (कहला सकता)।2।,,,तत = मूल-प्रभू। तत दरसी = हर जगह मूल प्रभू को देखने वाला। सम दरसी = सभी को एक जैसा देखने वाला। कोटि = करोड़ों। मंधाही = में।2।,
P0051L31,(ज्ञान आदि की बातें निरी) कहनी या कहलानी- ये रास्ता है दुनिया से शोभा कमाने का।,,,कीरति = शोभा~ उस्तति। करला = रास्ता।,
P0051L32,गुरू की शरण पड़ा हुआ कोई विरला ही मनुष्य होता है जो (ज्ञान की यह जबानी जबानी बातें) कहने से आजाद रहता है।3।,,,ते = से। मुकता = आजाद~ बचा हुआ। गुरमुखि = गुरू की शरण पड़ा हुआ मनुष्य।3।,
P0051L33,उसे इस बात की ओर ध्यान ही नहीं होता कि मुक्ति क्या है और ना-मुक्ति क्या है (उसे प्रभू ही हर जगह दिखता है~ प्रभू की याद ही उस का निशाना है),,,गति = मुक्ति। अविगति = मुक्ति के विपरीत हालत।,
P0051L34,हे नानक! जिस मनुष्य ने संत जनों के चरणों कीधूड़ (का) दान प्राप्त कर लिया है ।4।26।96।,,,रेणु = चरण धूड़।4।,
P0051L35,,,,,
P0051L36,हे प्यारे (प्रभू-पिता)! तेरे प्यार के भरोसे पे मैंने लाडों में ही दिन गुजार दिए हैं।,,,लाड लडाइआ = लाड करता रहा~ लाडों में दिन व्यतीत करता रहा।,
P0051L37,(मुझे यकीन है कि) तू हमारा माता-पिता है~ और बच्चे भूल-चूक करते ही रहते हैं।1।,,,चूकहि = चूकना। माइआ = मईया~ मां।1।,
P0051L38,हे प्रभू! तेरा भाणा मानना (तेरी रजा में रहना~ तेरी मर्जी में चलना) कठिन है।,,,सुहेला = आसान।,
P0051L39,(पर यह) कहना और कहलाना आसान है (कि हम तेरा भाणा मानते हैं)।1।रहाउ।,,,बिखमु = मुश्किल। भावनु = होनी को मानना।1। रहाउ।,
P0051L40,हे मेरे बे-मुथाज पिता (प्रभू)! मैं तेरा (ही) मान (गर्व) करता हूं (मुझे ये फखर है कि तू मेरे सिर पर है)~ मैं तेरा ही आसरा रखता हूं। मैं जानता हूं कि तू मेरा अपना है।,,,हउ करउ = मैं करता हूं। जानउ आपा = मुझे अपना जानता हूं।,
P0051L41,तू सभ जीवों के अंदर बसता है~ और सभी से बाहर भी है (निरलेप भी है)।2।,,,मधि = बीच में।2।,
P0051L42,हे पिता प्रभू! मुझे पता नहीं कि तुझे प्रसंन्न करने का तरीका क्या है?,,,जुगता = युक्ति~ तरीका। तेरी कवन जुगता = तुझे प्रसन्न करने का कौन सा तरीका है?,
P0052L01,हे संत जनों! पिता प्रभू मुझे माया के बंधनों से आजाद करने वाला है। वह मुझे अपना जानता है।3।,,,बंधन मुकतु = बंधनों से आजाद करने वाला। ममता = ‘मेरा’ कहने का दावा।3।,
P0052L02,हे नानक! पालणहार प्रभू जी जिस मनुष्य पर दया करते हैं~ उसके जनम-मरन का चक्कर खत्म हो जाता है।,,,आवण जाणा = पैदा होना मरना।,
P0052L03,गुरू को मिल के ही वह मनुष्य उस बेअंत परमात्मा के साथ गहरी सांझ पा लेता है।4।27।97।,,,गुर मिलि = गुरू को मिल के।4।,
P0052L04,,,,,
P0052L05,संत जन भाईयों से मिल के उसकी आत्मिक मौत का खतरा दूर हो जाता है।,,,मिलि = मिल के। जमकालु = मौत~ मौत का डर~ आत्मिक मौत का खतरा।,
P0052L06,पति परमेश्वर उस पर दयावान होता है और सदा स्थिर मालिक प्रभू उसके मन में आ बसता है,,,सचा = सदा स्थिर रहने वाला। मनि = मन में। वुठा = आ बसा है।,
P0052L07,(जिस मनुष्य को) पूरा गुरू मिल जाता है~ उसका सारा माया मोह का जाल नाश हो जाता है। ।1।,,,भेटिआ = मिला। सभु = सारा। जंजालु = माया के बंधन।1।,
P0052L08,हे मेरे सतिगुरू! मैं तूझसे कुर्बान जाता हूं~ मैं तेरे दर्शनों से सदके जाता हूं।,,,हउ = मैं।,
P0052L09,तूने प्रसन्न हो के मुझे (प्रभु का) आत्मिक जीवन देने वाला नाम बख्शा है।1।रहाउ।,,,तुसि = प्रसन्न हो के। अंम्रित = आत्मिक जीवन देने वाला।1। रहाउ।,
P0052L10,(हे प्रभू!) जिन्होंने प्रेम से तुझे सिमरा है~ वही सयाने मनुष्य हैं।,,,तूं = तुझे। भाउ = प्रेम। सुजान = सयाने।,
P0052L11,जिन के हृदय में (तेरा) नाम खजाना बसता है। उन की ही शरन पड़ के (विकारों से बच जाते हैं)। (पर नाम की यह दात गुरू से ही मिलती है)।,,,पिछै = अनुसार हो के~ शरण पड़ कर। छुटीअै = (विकारों से) बचते हैं। निधानु = खजाना।,
P0052L12,गुरू जितना और कोई दाता नहीं है क्योंकि उसने आत्मिक जीवन की दात दी है।2।,,,जिनि = जिस ने (‘जिनि’ बहुवचन है~ ‘जिन’ एकवचन है)।2।,
P0052L13,जिनको प्यार की बरकति से गुरू आ मिलता है~ जगत में आए हुउ वही कबूल हैं।,,,हहि = है। सुभाइ = प्यार से।,
P0052L14,(गुरू की सहायता से) सदा स्थिर प्रभु (के नाम) में रंग के उनको परमात्मा की हजूरी में बैठने को जगह मिल जाती है।,,,सेती = साथ। बैसणु = बैठने को। जाइ = जगह।,
P0052L15,(पर यह सभ) आदर-सत्कार परमात्मा के (अपने) हाथ में हैं (जिस पे वह मेहर करता है~ वह मनुष्य) पहले जनम में की गई नेक कमाई का लिखा लेख प्राप्त कर लेता है।3।,,,हथि = हाथ में।3।,
P0052L16,जगत का कर्ता जो सब कुछ करने के स्मर्थ है और सबका मालिक है। सदा ही कायम रहने वाला है~ वही सबका सहारा है।,,,सचु = सदा स्थिर। टेक = आसरा।,
P0052L17,हरेक जीव उसी को ही सदा स्थिर रहने वाला कहता है। वह सदा स्थिर प्रभू ही (असली) परख की बुद्धि रखने वाला है~,,,वखाणअै = कहा जाता है~ हर कोई कहता है। बिबेक बुधि = विवेक की बुद्धि वाला~ सकारात्मक तीक्ष्ण बुद्धि वाला।,
P0052L18,"सभ जीवों के अंदर व्यापक है, हे नानक! जो मनुष्य उस एक प्रभू (का नाम) जपता है उसको आत्मिक जीवन प्राप्त होता है।4।28।98।",,,जपि = जप के। ऐक = (उस) एक (का नाम)।4।,
P0052L19,,,,,
P0052L20,गुरू परमात्मा (का रूप) है। (गुरू के वास्ते अपने) मन में हृदय में प्यार बना के (उसको) अपने हृदय में आदर की जगह देनी चाहिए।,,,पूजीअै = पूजना चाहिए। लाइ = लगा के।,
P0052L21,गुरू आत्मिक जीवन देने वाला है। (गुरू) हरेक (शरण आए) जीव को (परमात्मा के नाम का) आसरा देता है।,,,जीअ का = जीवात्मा का~ आत्मिक जीवन का। सभसै = (शरण आए) हरेक को। देइ = देता है। अधारु = आसरा।,
P0052L22,सबसे उक्तम यही है कि गुरू के बचन कमाए जाएं (गुरू के उपदेश के अनुसार जीवन का सृजना की जाए)।,,,,
P0052L23,गुरू की संगति में प्यार पाए बिना (यह) माया का मोह (जो) सारे का सारा व्यर्थ है (जीव पर अपना जोर डाले रखता है)।1।,,,साधू = गुरू। छारु = राख~ व्यर्थ।1।,
P0052L24,हे मेरे मित्र! परमात्मा का नाम (अपने) हृदय में बसा (और गुरू चरणों में टिका रह)।,,,समालि = हृदय में बसाओ।,
P0052L25,गुरू की संगति में रहने से (परमात्मा का नाम) मन में बसता है~ और मेहनत सफल हो जाती है।1।रहाउ।,,,मनि = मन में। घाल = मेहनत। पूरन = सफल।1। रहाउ।,
P0052L26,गुरू सभ ताकतों का मालिक है~ गुरू बेअंत (गुणों वाला) है। सौभाग्यशाली मनुष्य को (ही) गुरू का दर्शन प्राप्त होता है।,,,,
P0052L27,गुरू (उस प्रभू का रूप है जो) ज्ञानेंद्रियों की पहुँच से परे हैं~ गुरू पवित्र स्वरूप है। गुरू जितना बड़ा (व्यक्तित्व वाला) और कोई नही है।,,,अगोचरु = (अ+गो+चरु~ गो = ज्ञानेंद्रिय) जिस तक ज्ञानेंद्रियों की पहुँच ना हो सके।,
P0052L28,गुरू करतार (का रूप) है। गुरू (उस परमात्मा का रूप है जो) सब कुछ करने के स्मर्थ है। गुरू की शरण पड़ने से सदा कायम रहने वाली शोभा मिलती है।,,,गुरमुखि = गुरू की शरण पड़ने से। सोइ = शोभा।,
P0052L29,गुरू से बे-मुख हो के (आकी हो के) कोई काम नहीं किया जा सकता। जो कुछ गुरू करना चाहता है वही होता है (भाव~ गुरू उस प्रभू का रूप है जिससे कोई आकी नहीं हो सकता~ और जो कुछ वह करना चाहता है वही होता है)।2।,,,ते = से। बाहिर = परे। लोड़े = चाहे।2।,
P0052L30,गुरू (ही असल) तीर्थ है। गुरू ही पारजात वृक्ष है~ गुरू ही सारी कामनाएं पूरी करने वाला है।,,,पारजातु = पारिजात (स्वर्ग के पाँच वृक्षों में से एक ‘पारिजात’ वृक्ष है~ जो मनोकामनाएं पूरी करता है। वह पांच वृक्ष ये हैं– मंदार~ पारजात~ संतान~ कल्पवृक्ष और हरिचंदन)।समुंद्र मंथन पर ये पारिजात वृक्ष देवताओं को चौदह रत्नों में ही मिला था। बंटवारे के समय यह इन्द्र के कब्जे में आया। कृष्ण ने उससे छीन के अपनी प्यारी ‘सत्यभामा’ के आँगन में लगा दिया। “पारमस्या स्तीति पारी समुद्र स्तत्र जात:~ तस्य समुद्रौत्पन्नत्वात्”। मनसा = मनीषा~इच्छा।,
P0052L31,गुरू ही (वह) दाता है (जो) परमात्मा का नाम देता है (जिसकी बरकति से) सारा संसार (विकारों से) वचता है।,,,उधरै = (विकारों से) बचालेता है।,
P0052L32,गुरू (उस परमात्मा का रूप है जो) सभ ताकतों का मालिक है~ जिसका कोई खास स्वरूप नहीं बताया जा सकता~ जो सबसे ऊँचा है~ अपहुंच है और बेअंत है।,,,अगम = अपहुँच।3।,
P0052L33,गुरू की उपमा तक (शब्दों द्वारा) पहुँचा नहीं जा सकता। कोई भी (विद्वान से विद्वान) बयान करने वाला बयान नहीं कर सकता।3।,,,,
P0052L34,जितने भी पदार्तों की मन में इच्छा धारी जाए~ वह सारे गुरू से प्राप्त हो जाते हैं।,,,बाछीअहि = जिनकी इच्छा की जाती है। तितड़े = वह सारे।,
P0052L35,पहिले जनम में की नेक कमाई के लिखे लेख अनुसार (गुरू की शरण पड़ने से) मिल जाते हैं। गुरू सदा स्थिर रहने वाले परमात्मा के नाम की पूँजी देता है।,,,दे = देता है। रासि = राशि~ सरमाया।,
P0052L36,अगर~ गुरू की शरण आ पड़ें~ तो उससे मिले आत्मिक जीवन का फिर कभी नाश नहीं होता।,,,बिनासु = (आत्मिक) मौत।,
P0052L37,हे नानक! (कह) हे हरी! (गुरू की शरण पड़ के) मैं तुझे कभी ना भुलाऊँ। मेरी ये जीवात्मा~ मेरा यह शरीर और (शरीर में आते) श्वास~ सभ तेरा ही दिया हुआ है।4।29।99।,,,विसरउ = मैं भूलूं। जीउ = जीवात्मा। पिंडु = शरीर। सासु = साँस~ श्वास।4।,
P0052L38,,,,,
P0052L39,हे भाईयो! हे संत जनों! (ध्यान से) सुनो। सदा स्थिर रहने वाले परमात्मा के नाम में जुड़ने से ही (विकारों से) खलासी होती है।,,,सुणि = सुनो। भाईहो = हे भाईयो! छूटनु = (विकारों से) खलासी। नाइ = नाम से। सचै नाइ = सदा स्थिर रहने वाले परमात्मा के नाम में (जुड़ के)।,
P0052L40,(पर यह नाम गुरू के पास से ही मिल सकता है) गुरू के चरण पूजने (भाव~ अहम् त्याग के गुरू की शरण पड़ना और गुरू के सन्मुख रह कर) परमात्मा का नाम (जपना) ही (सारे) तीर्तों (का तीर्थ) है।,,,सरेवणे = पूजने।,
P0052L41,(इसकी बरकति से) परलोक में परमात्मा की दरगाह में (भाग्यशाली जीव) आदर पाते हैं। जिस मनुष्य को और कहीं भी आसरा नहीं मिलता~ उसको (प्रभू की दरगाह में) आसरा मिल जाता है।1।,,,आगै = परलोक में। मंनीअहि = माने जाते हैं~ आदर पाते हैं।1।,
P0053L01,हे भाई! गुरू की सेवा जरूर फल देती है।,,,साची = सदा स्थिर रहने वाली~ अटॅल~ सफल।,
P0053L02,(क्योंकि) गुरू प्रसन्न हो जाए तो वह परमात्मा मिल जाता है जो सब में व्यापक है जो अदृष्ट है और जिस का भेद नहीं पाया जा सकता।1।रहाउ।,,,सतिगुर तुठै = यदि गुरू मेहरबान हो जाए। अलख = अलक्ष्य~ अदृष्ट। अभेव = जिसका भेद ना पाया जा सके।1। रहाउ।,
P0053L03,हे भाई! मैं उस गुरू के सदके जाता हूँ~ जिस ने (मुझे) सदा कायम रहने वाला हरि नाम दिया है।,,,विटहु = से। जिनि = जिस ने। सचु = सदा स्थिर।,
P0053L04,(जिस गुरू की कृपा से) मैं हर वक्त सदा स्थिर प्रभू को सलाहता रहता हूँ और सदा स्थिर प्रभू के गुण गाता रहता हूँ।,,,अनदिनु = हर रोज।2।,
P0053L05,(हे भाई! गुरू की मेहर से अब) सदा स्थिर हरि नाम (मेरी आत्मिक) खुराक बन गया है। सदा स्थिर हरि नाम (मेरी) पोशाक हो चुका है (आदर-सत्कार का कारण बन चुका है)। (अब मैं) सदा कायम रहने वाले प्रभू का सदा स्थिर नाम (हर वक्त जपता हूँ)।2।,,,,
P0053L06,हे भाई! गुरू वह व्यक्तित्व है (सख्शियत है) जो सारे फल देने के स्मर्थ है (गुरू की शरण पड़ने से हरेक) श्वास के साथ (हरेक) ग्रास के साथ (कभी भी परमात्मा) नहीं भूलता।,,,सासि = हरेक श्वास में। गिरासि = (हरेक) ग्रास में। सासि गिरासि = हरेक साँस व ग्रास के साथ। सफल मूरति = वह व्यक्तित्व जो सारे फल देने के स्मर्थ है। तिसु = उस (गुरू) को।,
P0053L07,हे भाई! गुरू के बराबर और कोई (दाता) नहीं दिखता~ आठों पहर उस (गुरू को) याद रख।,,,,
P0053L08,जब गुरू मेहर की निगाह करता है~ तो सारे गुणों के खजाने परमात्मा का सदा स्थिर रहने वाला नाम प्राप्त हो जाता है।3।,,,ता = तब। गुणतासि = गुणों का खजाना।3।,
P0053L09,हे भाई! जो परमात्मा सारी सृष्टि में व्यापक है~ वह और गुरू एक रूप हैं।,,,,
P0053L10,जिन मनुष्यों की पूर्व जन्म की नेक कमाई के संसकारों का लेखा अंकुरित होता है वही मनुष्य (गुरू की शरण पड़ के) परमात्मा का नाम सिमर के (ये श्रद्धा बनाते हैं कि परमात्मा सभ में व्यापक है)।,,,पूरबि = पहले जन्म में। सेई = वही लोग। धिआइ = ध्यान करके~ सिमर के।4।,
P0053L11,हे नानक! जो मनुष्य गुरू की शरण पड़ता है~ वह मनुष्य आत्मिक मौत नहीं मरता। वह जनम मरण के चक्कर में नहीं पड़ता।4।30।100।गुरू नानक देव जी--------------33गुरू अमरदास जी---------------31गुरू राम दास जी---------------06गुरू अरजन साहिब जी--------30कुल जोड़----------------------100,,,,
P0053L12,,,,,
P0053L13,,,,असटपदी = (अष्ट+पद)~ आठ बंद वाली रचना।,
P0053L14,ज्यों ज्यों किसी जीव को (प्रभू के गुणों) को बोलने की समझ पड़ती है (त्यों त्यों ये समझ भी आती जाती है कि उसके गुण) बयान कर कर के मन को खपाना ही है।,,,आखि = कह के। वावणा = खपाना~ खुआर करना। जापै = प्रतीत होता है~ समझ पड़ती है। वाइ जापै = बोलने की समझ पड़ती है। वाइ = वाय~ घ्वनि~ बोल।,
P0053L15,जिस प्रभू को बोल के सुनाते हैं (जिस प्रभु के गुणों के बारे में बोल के औरों को बताते हैं~ उसकी बाबत ये तो पता ही नहीं लगता कि) वह कितना बड़ा है और किस जगह पे (निवास रखता) है।,,,कितु = किस में? थाइ = जगह में। कितु थाइ = किस जगह में? किस स्थान पर?,
P0053L16,वह सारे बयान करते थक जाते हैं~ (गुणों में) सुरति जोड़ते रह जाते हैं।1।,,,सभि = सारे। रहे = रह गये~ थक गये। लिव लाइ = सुरति जोड़ के।1।,
P0053L17,हे भाई! परमात्मा के गुणों तक पहुँच नहीं हो सकती~ उसके गुणों का परला छोर नहीं ढूंढा जा सकता।,,,बाबा = हे भाई! अलहु = अल्ला~ रॅब~ परमात्मा। अगम = अपहुंच~ जिस तक पहुंच ना हो सके~ जिस को समझा ना जा सके। अपारु = जिसके गुणों का पार न पाया जा सके।,
P0053L18,उसकी उपमा पवित्र है~ वह पवित्र स्थान पर (शोभायमान) है। वह सदा कायम रहने वाला प्रभू (सब जीवों को) पालने वाला है।1।रहाउ ॥,,,पाकी = पवित्र। नाई = वडिआई (‘नाई’ का अरबी रूप ‘स्ना’ है जिसका अर्थ है “वडिआई~ सिफति~ उपमा~ उस्तति”। पंजाबी में इसके दो रूप हैं– ‘असनाई’ और ‘नाई’। जैसे संस्कृत शब्द ‘स्थान’ से पंजाबी के दो रूप = ‘थान’ और ‘असथान’)। थाइ = जगह में~ स्थान पे। परविदगारु = (सब) को पालने वाला परमात्मा।1। रहाउ।,
P0053L19,हे प्रभू! किसी को भी ये समझ नहीं पड़ी कि तेरा हुकम कितना अटॅल है। कोई भी तेरे हुकम को बयान नहीं कर सकता।,,,न जापी = समझ में नहीं आता। केतड़ा = कितना (अटॅल) ? लिखि न जाणै = लिखा नहीं जा सकता।,
P0053L20,अगर सौ कवि भी एकत्र कर लिए जाएंतो भी वह बयान करने का व्यर्थ प्रयत्न करके तेरे गुणों तक एक तिल मात्र नहीं पहुँच सकते।,,,साइर = शायर~ कवि। मेलीअहि = इकट्ठे किए जाएं। रोइ = खप के~ बयान करने का व्यर्थ यतन करके। पुजावहि = पहुंचना।,
P0053L21,किसी भी जीव ने तेरा मुल्य नहीं पाया~ सारे जीव तेरी बाबत (दूसरों से) सुन सुन के ही कह देते हैं।2।,,,किनै = किसी ने भी। सोइ = सूह~ खबर।3।,
P0053L22,(दनिया में) अनेकों पीर पैग़ंबर~ औरों को जीवन राह बताने वाले~,,,पैकामर = पैगंबर। सालक = रास्ता दिखाने वाला। सादक = सिदक वाले। सुहदे = शोहदे~ मस्त फकीर।,
P0053L23,अनेकों शेख~ काजी~ मुल्ला और तेरे दरवाजे तक पहुंचे हुए दरवेश आए,,,मसाइक = अनेकों शेख। दरि = (प्रभु के) दर पे। रसीद = पहुँचे हुए।,
P0053L24,"(किसी को~ हे प्रभू! तेरे गुणों का अंत नहीं मिला~ हाँ सिर्फ) उनको बहुत बरकति मिली, (उनके ही भाग्य जागे) जो (तेरे दर पे) दुआ (अरजोई) करते रहते हैं।3।",,,अगली = बहुत। दरूद = नमाज के बाद की दुआ।3।,
P0053L25,प्रभू ये जगत ना किसी से सलाह ले के बनाता है ना ही पूछ के नाश करता है। ना ही किसी की सलाह से शरीर में जीवात्मा डालता है~ ना निकालता है।,,,,
P0053L26,परमात्मा अपनी कुदरति स्वयं ही जानता है~ स्वयं ही यह जगत रचना करता है।,,,करण = सृष्टि।,
P0053L27,मेहर की निगाह करके सब जीवों की संभाल स्वयं ही करता है। जो उसे भाता है~ उसको (अपने गुणों की कद्र) बख्शता है।4।,,,नदरि = मेहर की निगाह। जै = जो उसे। तै = तिसको।4।,
P0053L28,(बेअंत पुरियां~ धरतियां आदि हैं। इतनी बेअंत रचना है कि) सब जगहों के (पदार्तों के) नाम जाने नहीं जा सकते।,,,थावा नाव = अनेकों स्थानों के नाम (शब्द ‘नाउ’ का बहुवचन ‘नाव’)।,
P0053L29,बेअंत नामों में से वह कौन सा नाम हो सकता है जो इतना बड़ा हो कि परमात्मा के असल बडेपन को बयान कर सके? यह बात कोई नहीं बता सकता कि जहां सुष्टि का पातशाह प्रभु बसता है~ वह जगह कितनी बड़ी है।,,,केवडु = कितना बड़ा?,
P0053L30,किसी से भी ये पूछा नहीं जा सकता~ क्योंकि~ कोई जीव उस अवस्था तक पहुँच ही नहीं सकता (जहां वह परमात्मा की बुजुर्गी सही सही बता सके)।5।,,,अंबड़ि न सकई = पहुंच नहीं सकता।5।,
P0053L31,(ये भी नहीं कहा जा सकता कि) परमात्मा को कोई खास ऊँची या नीची जाति भाती है या नहीं भाती और इस तरह वह किसी एक जाति को ऊंचा कर देता है।,,,वरनावरन = वर्ण+आवर्ण~ ऊंच नीच जातियां। किसै = किसी खास जाति को।,
P0053L32,सब वडिआईआं बड़े प्रभू के अपने हाथ में हैं। जो जीव उसे अच्छा लगता है उसे वडिआई बख्श देता है।,,,,
P0053L33,अपनी रजा में ही वह जीव के जीवन को संवार देता है~ रॅती भर भी ढील नहीं करता।6।,,,हुकमि = हुकम में। चसा = रॅती भर भी समय।6।,
P0053L34,परमात्मा से दातें लेने के ख्याल से हरेक जीव बहुत बहुत मांगे मांगता है।,,,सभु को = हरेक जीव को। वीचारि = विचार से~ ख्याल से। लैणै के वीचारि = प्रभु से लेने के ख्याल से।,
P0053L35,यह बताया नहीं जा सकता कि परमात्मा कितना बड़ा दाता है। वह दातें दे रहा है~ पर दातें गिनती से परे हैं।,,,सुमारि = शुमार से~ गिनती से।,
P0053L36,हे नानक! (कह~ हे प्रभू!) तेरे खजाने सदा ही भरे रहते हैं~ इनमें कभी भी कमी नहीं आ सकती।7।1।,,,भंडारे = खजाने।7।,
P0053L37,,नोट: इस शबद के शीर्षक में शब्द ‘सिरीरागु’ नहीं है।,,,
P0053L38,सारी जीव-सि्त्रयां प्रभु पति की ही हैं~ सारी ही (उस प्रभू पति को प्रसन्न करने के लिए) श्रृंगार करती हैं।,,,कंत महेलीआ = पति (प्रभू) की (जीव) सि्त्रयां।,
P0054L01,पर~ जो अपने श्रृंगार का दिखावा मान करती हैं उनका गाढ़ा लाल पहिरावा भी विकार (ही) पैदा करता है। क्योकि~ दिखावा करने से प्रभू का प्यार नहीं मिलता।,,,गणत = गिनती मिनतीए दिखावा। सूहा = लाल~ मन को खीचने वाला गाढ़ा लाल रंग। वेसु = पहिरावा।,
P0054L02,(अंदर खोट हो और बाहर से प्रेम का दिखावा हो) यह खोटा दिखावा खुआर ही करता है।1।,,,पाखंडि = पाखण्ड से। पाजु = दिखावा।1।,
P0054L03,हे प्रभू जी! व्ह जीव-सि्त्रयां सुहाग भाग वालियां हैं जो तुझे अच्छी लगती हैं।,,,हरि जीउ = हे प्रभू जी! इउ = इस तरीके से~ इस श्रद्धा से~ ऐसी श्रद्धा रखने से। रावै = मिलता है~ प्यार करता है।,
P0054L04,जिनको तू अपनी मेहर से खुद सुचज्जियां बना लेता है– यह श्रद्धा धारी प्रभु पति जीव-सि्त्रयों को प्यार करता है।1।रहाउ।,,,तुधु = तुझे। सोहागणी = सुहागन~ भाग्यशाली। लैहि सवारि = तू सवार लेता है।1। रहाउ।,
P0054L05,पर~ जो जीव स्त्री गुरू के शबद के द्वारा (अपने जीवन को) संवारती है~ जिसका शरीर पति प्रभु के हवाले है~ जिसका मन पति प्रभू के हवाले है (भाव~ जिसका मन और जिसकी ज्ञानेद्रियां प्रभू की याद से अलग कुराहे नहीं जाते)~,,,सीगारीआ = जो जीव स्त्री श्रृंगारी गई है।,
P0054L06,जो दोनों हाथ जोड़ के पूरी श्रद्धा से (प्रभू पति का आसरा ही) देखती है~ जो सदा स्थिर प्रभू को ही याद करती है और उसके दर पे अरजोईयां करती है~ वह प्रभू प्रीतम (के प्यार) में रंगी रहती है।,,,कर = हाथ। खड़ी = खड़ी हुई~ सावधान हो के~ सुचेत रह के।,
P0054L07,वह सदा स्थिर प्रभू के डर अदब में टिकी रहती है~ वह प्रभू के प्रेम में रंगी रहती है~ तथा उस के रंग में रसी रहती है।2।,,,लालि = लाल में~ प्यारे के प्रेम में। सच भै = सच्चे प्रभू के डर अदब में। भाइ = (प्रभू के) प्रेम में। रंगि = रंग में। रासि = रसी हुई।2।,
