PID,Gist_English_by_Sant_Singh
P0058L09,"Without the Name, the body suffers in pain; it crumbles like a wall of sand."
P0058L10,"As long as Truth does not enter into the consciousness, the Mansion of the Lord's Presence is not found."
P0058L11,"Attuned to the Shabad, we enter our home, and obtain the Eternal State of Nirvaanaa. ||4||"
P0058L12,"I ask my Guru for His Advice, and I follow the Guru's Advice."
P0058L13,"With the Shabads of Praise abiding in the mind, the pain of egotism is burnt away."
P0058L14,"We are intuitively united with Him, and we meet the Truest of the True. ||5||"
P0058L15,"Those who are attuned to the Shabad are spotless and pure; they renounce sexual desire, anger, selfishness and conceit."
P0058L16,"They sing the Praises of the Naam, forever and ever; they keep the Lord enshrined within their hearts."
P0058L17,How could we ever forget Him from our minds? He is the Support of all beings. ||6||
P0058L18,"One who dies in the Shabad is beyond death, and shall never die again."
P0058L19,"Through the Shabad, we find Him, and embrace love for the Name of the Lord."
P0058L20,"Without the Shabad, the world is deceived; it dies and is reborn, over and over again. ||7||"
P0058L21,"All praise themselves, and call themselves the greatest of the great."
P0058L22,"Without the Guru, one's self cannot be known. By merely speaking and listening, what is accomplished?"
P0058L23,"O Nanak, one who realizes the Shabad does not act in egotism. ||8||8||"
P0058L24,"Siree Raag, First Mehl:"
P0058L25,"Without her Husband, the soul-bride's youth and ornaments are useless and wretched."
P0058L26,"She does not enjoy the pleasure of His Bed; without her Husband, her ornaments are absurd."
P0058L27,The discarded bride suffers terrible pain; her Husband does not come to the bed of her home. ||1||
P0058L28,"O mind, meditate on the Lord, and find peace."
P0058L29,"Without the Guru, love is not found. United with the Shabad, happiness is found. ||1||Pause||"
P0058L30,"Serving the Guru, she finds peace, and her Husband Lord adorns her with intuitive wisdom."
P0058L31,"Truly, she enjoys the Bed of her Husband, through her deep love and affection."
P0058L32,"As Gurmukh, she comes to know Him. Meeting with the Guru, she maintains a virtuous lifestyle. ||2||"
P0058L33,"Through Truth, meet your Husband Lord, O soul-bride. Enchanted by your Husband, enshrine love for Him."
P0058L34,Your mind and body shall blossom forth in Truth. The value of this cannot be described.
P0058L35,The soul-bride finds her Husband Lord in the home of her own being; she is purified by the True Name. ||3||
P0058L36,"If the mind within the mind dies, then the Husband ravishes and enjoys His bride."
P0058L37,"They are woven into one texture, like pearls on a necklace around the neck."
P0058L38,"In the Society of the Saints, peace wells up; the Gurmukhs take the Support of the Naam. ||4||"
P0058L39,"In an instant, one is born, and in an instant, one dies. In an instant one comes, and in an instant one goes."
P0058L40,"One who recognizes the Shabad merges into it, and is not afflicted by death."
P0059L01,Our Lord and Master is Unweighable; He cannot be weighed. He cannot be found merely by talking. ||5||
P0059L02,The merchants and the traders have come; their profits are pre-ordained.
P0059L03,"Those who practice Truth reap the profits, abiding in the Will of God."
P0059L04,"With the Merchandise of Truth, they meet the Guru, who does not have a trace of greed. ||6||"
P0059L05,"As Gurmukh, they are weighed and measured, in the balance and the scales of Truth."
P0059L06,"The enticements of hope and desire are quieted by the Guru, whose Word is True."
P0059L07,He Himself weighs with the scale; perfect is the weighing of the Perfect One. ||7||
P0059L08,"No one is saved by mere talk and speech, nor by reading loads of books."
P0059L09,The body does not obtain purity without loving devotion to the Lord.
P0059L10,"O Nanak, never forget the Naam; the Guru shall unite us with the Creator. ||8||9||"
P0059L11,"Siree Raag, First Mehl:"
P0059L12,"Meeting the Perfect True Guru, we find the jewel of meditative reflection."
P0059L13,"Surrendering our minds to our Guru, we find universal love."
P0059L14,"We find the wealth of liberation, and our demerits are erased. ||1||"
P0059L15,"O Siblings of Destiny, without the Guru, there is no spiritual wisdom."
P0059L16,"Go and ask Brahma, Naarad and Vyaas, the writer of the Vedas. ||1||Pause||"
P0059L17,"Know that from the vibration of the Word, we obtain spiritual wisdom and meditation. Through it, we speak the Unspoken."
P0059L18,"He is the fruit-bearing Tree, luxuriantly green with abundant shade."
P0059L19,"The rubies, jewels and emeralds are in the Guru's Treasury. ||2||"
P0059L20,"From the Guru's Treasury, we receive the Love of the Immaculate Naam, the Name of the Lord."
P0059L21,"We gather in the True Merchandise, through the Perfect Grace of the Infinite."
P0059L22,"The True Guru is the Giver of peace, the Dispeller of pain, the Destroyer of demons. ||3||"
P0059L23,The terrifying world-ocean is difficult and dreadful; there is no shore on this side or the one beyond.
P0059L24,"There is no boat, no raft, no oars and no boatman."
P0059L25,The True Guru is the only boat on this terrifying ocean. His Glance of Grace carries us across. ||4||
P0059L26,"If I forget my Beloved, even for an instant, suffering overtakes me and peace departs."
P0059L27,"Let that tongue be burnt in flames, which does not chant the Naam with love."
P0059L28,"When the pitcher of the body bursts, there is terrible pain; those who are caught by the Minister of Death regret and repent. ||5||"
P0059L29,"Crying out, """"Mine! Mine!"""", they have departed, but their bodies, their wealth, and their wives did not go with them."
P0059L30,"Without the Name, wealth is useless; deceived by wealth, they have lost their way."
P0059L31,"So serve the True Lord; become Gurmukh, and speak the Unspoken. ||6||"
P0059L32,"Coming and going, people wander through reincarnation; they act according to their past actions."
P0059L33,How can one's pre-ordained destiny be erased? It is written in accordance with the Lord's Will.
P0059L34,"Without the Name of the Lord, no one can be saved. Through the Guru's Teachings, we are united in His Union. ||7||"
P0059L35,"Without Him, I have no one to call my own. My soul and my breath of life belong to Him."
P0059L36,"May my egotism and possessiveness be burnt to ashes, and my greed and egotistical pride consigned to the fire."
P0059L37,"O Nanak, contemplating the Shabad, the Treasure of Excellence is obtained. ||8||10||"
P0059L38,"Siree Raag, First Mehl:"
P0059L39,"O mind, love the Lord, as the lotus loves the water."
P0059L40,"Tossed about by the waves, it still blossoms with love."
P0059L41,"In the water, the creatures are created; outside of the water they die. ||1||"
P0060L01,"O mind, how can you be saved without love?"
P0060L02,God permeates the inner beings of the Gurmukhs. They are blessed with the treasure of devotion. ||1||Pause||
P0060L03,"O mind, love the Lord, as the fish loves the water."
P0060L04,"The more the water, the more the happiness, and the greater the peace of mind and body."
P0060L05,"Without water, she cannot live, even for an instant. God knows the suffering of her mind. ||2||"
P0060L06,"O mind, love the Lord, as the song-bird loves the rain."
P0060L07,"The pools are overflowing with water, and the land is luxuriantly green, but what are they to her, if that single drop of rain does not fall into her mouth?"
P0060L08,"By His Grace, she receives it; otherwise, because of her past actions, she gives her head. ||3||"
P0060L09,"O mind, love the Lord, as the water loves the milk."
P0060L10,"The water, added to the milk, itself bears the heat, and prevents the milk from burning."
P0060L11,"God unites the separated ones with Himself again, and blesses them with true greatness. ||4||"
P0060L12,"O mind, love the Lord, as the chakvee duck loves the sun."
P0060L13,"She does not sleep, for an instant or a moment; the sun is so far away, but she thinks that it is near."
P0060L14,"Understanding does not come to the self-willed manmukh. But to the Gurmukh, the Lord is always close. ||5||"
P0060L15,"The self-willed manmukhs make their calculations and plans, but only the actions of the Creator come to pass."
P0060L16,"His Value cannot be estimated, even though everyone may wish to do so."
P0060L17,"Through the Guru's Teachings, it is revealed. Meeting with the True One, peace is found. ||6||"
P0060L18,"True love shall not be broken, if the True Guru is met."
P0060L19,"Obtaining the wealth of spiritual wisdom, the understanding of the three worlds is acquired."
P0060L20,"So become a customer of merit, and do not forget the Immaculate Naam, the Name of the Lord. ||7||"
P0060L21,Those birds which peck at the shore of the pool have played and have departed.
P0060L22,"In a moment, in an instant, we too must depart. Our play is only for today or tomorrow."
P0060L23,"But those whom You unite, Lord, are united with You; they obtain a seat in the Arena of Truth. ||8||"
P0060L24,"Without the Guru, love does not well up, and the filth of egotism does not depart."
P0060L25,"One who recognizes within himself that, """"He is me"""", and who is pierced through by the Shabad, is satisfied."
P0060L26,"When one becomes Gurmukh and realizes his own self, what more is there left to do or have done? ||9||"
P0060L27,"Why speak of union to those who are already united with the Lord? Receiving the Shabad, they are satisfied."
P0060L28,"The self-willed manmukhs do not understand; separated from Him, they endure beatings."
P0060L29,"O Nanak, there is only the one door to His Home; there is no other place at all. ||10||11||"
P0060L30,"Siree Raag, First Mehl:"
P0060L31,"The self-willed manmukhs wander around, deluded and deceived. They find no place of rest."
P0060L32,"Without the Guru, no one is shown the Way. Like the blind, they continue coming and going."
P0060L33,"Having lost the treasure of spiritual wisdom, they depart, defrauded and plundered. ||1||"
P0060L34,"O Baba, Maya deceives with its illusion."
P0060L35,"Deceived by doubt, the discarded bride is not received into the Lap of her Beloved. ||1||Pause||"
P0060L36,"The deceived bride wanders around in foreign lands; she leaves, and abandons her own home."
P0060L37,"Deceived, she climbs the plateaus and mountains; her mind wavers in doubt."
P0060L38,"Separated from the Primal Being, how can she meet with Him again? Plundered by pride, she cries out and bewails. ||2||"
P0060L39,"The Guru unites the separated ones with the Lord again, through the love of the Delicious Name of the Lord."
P0061L01,"Through truth and intuitive poise, great honor is obtained, with the Support of the Naam and the Glory of the Lord."
P0061L02,"As it pleases You, Lord, please save and protect me. Without You, O my Husband Lord, who else is there for me? ||3||"
P0061L03,"Reading their books over and over again, people continue making mistakes; they are so proud of their religious robes."
P0061L04,"But what is the use of bathing at sacred shrines of pilgrimage, when the filth of stubborn pride is within the mind?"
P0061L05,"Other than the Guru, who can explain that within the mind is the Lord, the King, the Emperor? ||4||"
P0061L06,"The Treasure of the Lord's Love is obtained by the Gurmukh, who contemplates the essence of reality."
P0061L07,"The bride eradicates her selfishness, and adorns herself with the Word of the Guru's Shabad."
P0061L08,"Within her own home, she finds her Husband, through infinite love for the Guru. ||5||"
P0061L09,"Applying oneself to the service of the Guru, the mind is purified, and peace is obtained."
P0061L10,"The Word of the Guru's Shabad abides within the mind, and egotism is eliminated from within."
P0061L11,"The Treasure of the Naam is acquired, and the mind reaps the lasting profit. ||6||"
P0061L12,"If He grants His Grace, then we obtain it. We cannot find it by our own efforts."
P0061L13,"Remain attached to the Feet of the Guru, and eradicate selfishness from within."
P0061L14,"Attuned to Truth, you shall obtain the True One. ||7||"
P0061L15,Everyone makes mistakes; only the Guru and the Creator are infallible.
P0061L16,One who instructs his mind with the Guru's Teachings comes to embrace love for the Lord.
P0061L17,"O Nanak, do not forget the Truth; you shall receive the Infinite Word of the Shabad. ||8||12||"
P0061L18,"Siree Raag, First Mehl:"
P0061L19,"The enticing desire for Maya leads people to become emotionally attached to their children, relatives, households and spouses."
P0061L20,"The world is deceived and plundered by riches, youth, greed and egotism."
P0061L21,"The drug of emotional attachment has destroyed me, as it has destroyed the whole world. ||1||"
P0061L22,"O my Beloved, I have no one except You."
P0061L23,"Without You, nothing else pleases me. Loving You, I am at peace. ||1||Pause||"
P0061L24,"I sing the Praises of the Naam, the Name of the Lord, with love; I am content with the Word of the Guru's Shabad."
P0061L25,Whatever is seen shall pass away. So do not be attached to this false show.
P0061L26,"Like a traveller in his travels, you have come. Behold the caravan leaving each day. ||2||"
P0061L27,"Many preach sermons, but without the Guru, understanding is not obtained."
P0061L28,"If someone receives the Glory of the Naam, he is attuned to truth and blessed with honor."
P0061L29,Those who are pleasing to You are good; no one is counterfeit or genuine. ||3||
P0061L30,In the Guru's Sanctuary we are saved. The assets of the self-willed manmukhs are false.
P0061L31,The eight metals of the King are made into coins by the Word of His Shabad.
P0061L32,"The Assayer Himself assays them, and He places the genuine ones in His Treasury. ||4||"
P0061L33,Your Value cannot be appraised; I have seen and tested everything.
P0061L34,"By speaking, His Depth cannot be found. Abiding in truth, honor is obtained."
P0061L35,"Through the Guru's Teachings, I praise You; otherwise, I cannot describe Your Value. ||5||"
P0061L36,That body which does not appreciate the Naam-that body is infested with egotism and conflict.
P0061L37,"Without the Guru, spiritual wisdom is not obtained; other tastes are poison."
P0061L38,"Without virtue, nothing is of any use. The taste of Maya is bland and insipid. ||6||"
P0061L39,"Through desire, people are cast into the womb and reborn. Through desire, they taste the sweet and sour flavors."
P0061L40,"Bound by desire, they are led on, beaten and struck on their faces and mouths."
P0061L41,"Bound and gagged and assaulted by evil, they are released only through the Name, through the Guru's Teachings. ||7||"
P0062L01,"In all places, You are the One and Only. As it pleases You, Lord, please save and protect me!"
P0062L02,"Through the Guru's Teachings, the True One abides within the mind. The Companionship of the Naam brings the most excellent honor."
P0062L03,"Eradicate the disease of egotism, and chant the True Shabad, the Word of the True Lord. ||8||"
P0062L04,"You are pervading throughout the Akaashic Ethers, the nether regions and the three worlds."
P0062L05,"You Yourself are bhakti, loving devotional worship. You Yourself unite us in Union with Yourself."
P0062L06,"O Nanak, may I never forget the Naam! As is Your Pleasure, so is Your Will. ||9||13||"
P0062L07,"Siree Raag, First Mehl:"
P0062L08,My mind is pierced through by the Name of the Lord. What else should I contemplate?
P0062L09,"Focusing your awareness on the Shabad, happiness wells up. Attuned to God, the most excellent peace is found."
P0062L10,"As it pleases You, please save me, Lord. The Name of the Lord is my Support. ||1||"
P0062L11,"O mind, the Will of our Lord and Master is true."
P0062L12,Focus your love upon the One who created and adorned your body and mind. ||1||Pause||
P0062L13,"If I cut my body into pieces, and burn them in the fire,"
P0062L14,"And if I make my body and mind into firewood, and night and day burn them in the fire,"
P0062L15,"And if I perform hundreds of thousands and millions of religious rituals-still, all these are not equal to the Name of the Lord. ||2||"
P0062L16,"If my body were cut in half, if a saw was put to my head,"
P0062L17,"And if my body were frozen in the Himalayas-even then, my mind would not be free of disease."
P0062L18,None of these are equal to the Name of the Lord. I have seen and tried and tested them all. ||3||
P0062L19,"If I made a donation of castles of gold, and gave lots of fine horses and wondrous elephants in charity,"
P0062L20,"And if I made donations of land and cows-even then, pride and ego would still be within me."
P0062L21,The Name of the Lord has pierced my mind; the Guru has given me this true gift. ||4||
P0062L22,"There are so many stubborn-minded intelligent people, and so many who contemplate the Vedas."
P0062L23,There are so many entanglements for the soul. Only as Gurmukh do we find the Gate of Liberation.
P0062L24,Truth is higher than everything; but higher still is truthful living. ||5||
P0062L25,Call everyone exalted; no one seems lowly.
P0062L26,"The One Lord has fashioned the vessels, and His One Light pervades the three worlds."
P0062L27,"Receiving His Grace, we obtain Truth. No one can erase His Primal Blessing. ||6||"
P0062L28,"When one Holy person meets another Holy person, they abide in contentment, through the Love of the Guru."
P0062L29,"They contemplate the Unspoken Speech, merging in absorption in the True Guru."
P0062L30,"Drinking in the Ambrosial Nectar, they are contented; they go to the Court of the Lord in robes of honor. ||7||"
P0062L31,"In each and every heart the Music of the Lord's Flute vibrates, night and day, with sublime love for the Shabad."
P0062L32,Only those few who become Gurmukh understand this by instructing their minds.
P0062L33,"O Nanak, do not forget the Naam. Practicing the Shabad you shall be saved. ||8||14||"
P0062L34,"Siree Raag, First Mehl:"
P0062L35,"There are painted mansions to behold, white-washed, with beautiful doors;"
P0062L36,"They were constructed to give pleasure to the mind, but this is only for the sake of the love of duality."
P0062L37,The inner being is empty without love. The body shall crumble into a heap of ashes. ||1||
P0062L38,"O Siblings of Destiny, this body and wealth shall not go along with you."
P0062L39,"The Lord's Name is the pure wealth; through the Guru, God bestows this gift. ||1||Pause||"
P0062L40,The Lord's Name is the pure wealth; it is given only by the Giver.
P0062L41,"One who has the Guru, the Creator, as his Friend, shall not be questioned hereafter."
P0062L42,He Himself delivers those who are delivered. He Himself is the Forgiver. ||2||
P0063L01,"The self-willed manmukh looks upon his daughters, sons and relatives as his own."
P0063L02,"Gazing upon his wife, he is pleased. But along with happiness, they bring grief."
P0063L03,"The Gurmukhs are attuned to the Word of the Shabad. Day and night, they enjoy the Sublime Essence of the Lord. ||3||"
P0063L04,"The consciousness of the wicked, faithless cynics wanders around in search of transitory wealth, unstable and distracted."
P0063L05,"Searching outside of themselves, they are ruined; the object of their search is in that sacred place within the home of the heart."
P0063L06,"The self-willed manmukhs, in their ego, miss it; the Gurmukhs receive it in their laps. ||4||"
P0063L07,"You worthless, faithless cynic-recognize your own origin!"
P0063L08,This body is made of blood and semen. It shall be consigned to the fire in the end.
P0063L09,"The body is under the power of the breath, according to the True Sign inscribed upon your forehead. ||5||"
P0063L10,Everyone begs for a long life-no one wishes to die.
P0063L11,"A life of peace and comfort comes to that Gurmukh, within whom God dwells."
P0063L12,"Without the Naam, what good those who do not have the Blessed Vision, the Darshan of the Lord and Guru? ||6||"
P0063L13,"In their dreams at night, people wander around as long as they sleep;"
P0063L14,"Just so, they are under the power of the snake Maya, as long as their hearts are filled with ego and duality."
P0063L15,"Through the Guru's Teachings, they come to understand and see that this world is just a dream. ||7||"
P0063L16,"As thirst is quenched with water, and the baby is satisfied with mother's milk,"
P0063L17,"And as the lotus does not exist without water, and as the fish dies without water"
P0063L18,"-O Nanak, so does the Gurmukh live, receiving the Sublime Essence of the Lord, and singing the Glorious Praises of the Lord. ||8||15||"
P0063L19,"Siree Raag, First Mehl:"
P0063L20,"Beholding the terrifying mountain in this world of my father's home, I am terrified."
P0063L21,It is so difficult to climb this high mountain; there is no ladder which reaches up there.
P0063L22,"But as Gurmukh, I know that it is within my self; the Guru has brought me to Union, and so I cross over. ||1||"
P0063L23,"O Siblings of Destiny, the terrifying world-ocean is so difficult to cross-I am terrified!"
P0063L24,"The Perfect True Guru, in His Pleasure, has met with me; the Guru has saved me, through the Name of the Lord. ||1||Pause||"
P0063L25,"I may say, """"I am going, I am going"""", but I know that, in the end, I must really go."
P0063L26,Whoever comes must also go. Only the Guru and the Creator are Eternal.
P0063L27,"So praise the True One continually, and love His Place of Truth. ||2||"
P0063L28,"Beautiful gates, houses and palaces, solidly built forts,"
P0063L29,"Elephants, saddled horses, hundreds of thousands of uncounted armies"
P0063L30,"-none of these will go along with anyone in the end, and yet, the fools bother themselves to exhaustion with these, and then die. ||3||"
P0063L31,"You may gather gold and sliver, but wealth is just a net of entanglement."
P0063L32,"You may beat the drum and proclaim authority over the whole world, but without the Name, death hovers over your head."
P0063L33,"When the body falls, the play of life is over; what shall be the condition of the evil-doers then? ||4||"
P0063L34,"The husband is delighted seeing his sons, and his wife upon his bed."
P0063L35,"He applies sandalwood and scented oils, and dresses himself in his beautiful clothes."
P0063L36,"But dust shall mix with dust, and he shall depart, leaving hearth and home behind. ||5||"
P0063L37,"He may be called a chief, an emperor, a king, a governor or a lord;"
P0063L38,"He may present himself as a leader or a chief, but this just burns him in the fire of egotistical pride."
P0063L39,"The self-willed manmukh has forgotten the Naam. He is like straw, burning in the forest fire. ||6||"
P0063L40,"Whoever comes into the world and indulges in ego, must depart."
P0064L01,The whole world is a store-house of lamp-black; the body and mind are blackened with it.
P0064L02,"Those who are saved by the Guru are immaculate and pure; through the Word of the Shabad, they extinguish the fire of desire. ||7||"
P0064L03,"O Nanak, they swim across with the True Name of the Lord, the King above the heads of kings."
P0064L04,May I never forget the Name of the Lord! I have purchased the Jewel of the Lord's Name.
P0064L05,"The self-willed manmukhs putrefy and die in the terrifying world-ocean, while the Gurmukhs cross over the bottomless ocean. ||8||16||"
P0064L06,"Siree Raag, First Mehl:"
P0064L07,"They have made this their resting place and they sit at home, but the urge to depart is always there."
P0064L08,"This would be known as a lasting place of rest, only if they were to remain stable and unchanging. ||1||"
P0064L09,What sort of a resting place is this world?
P0064L10,"Doing deeds of faith, pack up the supplies for your journey, and remain committed to the Name. ||1||Pause||"
P0064L11,"The Yogis sit in their Yogic postures, and the Mullahs sit at their resting stations."
P0064L12,"The Hindu Pandits recite from their books, and the Siddhas sit in the temples of their gods. ||2||"
P0064L13,"The angels, Siddhas, worshippers of Shiva, heavenly musicians, silent sages, Saints, priests, preachers, spiritual teachers and commanders"
P0064L14,"-each and every one has left, and all others shall depart as well. ||3||"
P0064L15,"The sultans and kings, the rich and the mighty, have marched away in succession."
P0064L16,"In a moment or two, we shall also depart. O my heart, understand that you must go as well! ||4||"
P0064L17,This is described in the Shabads; only a few understand this!
P0064L18,"Nanak offers this prayer to the One who pervades the water, the land and the air. ||5||"
P0064L19,"He is Allah, the Unknowable, the Inaccessible, All-powerful and Merciful Creator."
P0064L20,All the world comes and goes-only the Merciful Lord is permanent. ||6||
P0064L21,"Call permanent only the One, who does not have destiny inscribed upon His Forehead."
P0064L22,The sky and the earth shall pass away; He alone is permanent. ||7||
P0064L23,The day and the sun shall pass away; the night and the moon shall pass away; the hundreds of thousands of stars shall disappear.
P0064L24,He alone is permanent; Nanak speaks the Truth. ||8||17||
P0064L25,Seventeen Ashtapadees Of The First Mehl.
P0064L26,"Siree Raag, Third Mehl, First House, Ashtapadees:"
P0064L27,One Universal Creator God. By The Grace Of The True Guru:
P0064L28,"By God's Grace, the Gurmukh practices devotion; without the Guru, there is no devotional worship."
P0064L29,"One who merges his own self into Him understands, and so becomes pure."
P0064L30,"The Dear Lord is True, and True is the Word of His Bani. Through the Word of the Shabad, Union with Him is obtained. ||1||"
P0064L31,"O Siblings of Destiny, without devotion, why have people even come into the world?"
P0064L32,They have not served the Perfect Guru; they have wasted their lives in vain. ||1||Pause||
P0064L33,"The Lord Himself, the Life of the World, is the Giver. He Himself forgives, and unites us with Himself."
P0064L34,What are these poor beings and creatures? What can they speak and say?
P0064L35,God Himself grants glory to the Gurmukhs; He joins them to His Service. ||2||
P0064L36,"Beholding your family, you are lured away by emotional attachment, but when you leave, they will not go with you."
P0065L01,"Serving the True Guru, I have found the Treasure of Excellence. Its value cannot be estimated."
P0065L02,"The Dear Lord God is my Best Friend. In the end, He shall be my Companion and Support. ||3||"
P0065L03,"In this world of my father's home, the Great Giver is the Life of the World. The self-willed manmukhs have lost their honor."
P0065L04,"Without the True Guru, no one knows the Way. The blind find no place of rest."
P0065L05,"If the Lord, the Giver of Peace, does not dwell within the mind, then they shall depart with regret in the end. ||4||"
P0065L06,"In this world of my father's house, through the Guru's Teachings, I have cultivated within my mind the Great Giver, the Life of the World."
P0065L07,"Night and day, performing devotional worship, day and night, ego and emotional attachment are removed."
P0065L08,"And then, attuned to Him, we become like Him, truly absorbed in the True One. ||5||"
P0065L09,"Bestowing His Glance of Grace, He gives us His Love, and we contemplate the Word of the Guru's Shabad."
P0065L10,"Serving the True Guru, intuitive peace wells up, and ego and desire die."
P0065L11,"The Lord, the Giver of Virtue, dwells forever within the minds of those who keep Truth enshrined within their hearts. ||6||"
P0065L12,"My God is forever Immaculate and Pure; with a pure mind, He can be found."
P0065L13,"If the Treasure of the Name of the Lord abides within the mind, egotism and pain are totally eliminated."
P0065L14,The True Guru has instructed me in the Word of the Shabad. I am forever a sacrifice to Him. ||7||
P0065L15,"Within your own conscious mind, you may say anything, but without the Guru, selfishness and conceit are not eradicated."
P0065L16,"The Dear Lord is the Lover of His devotees, the Giver of Peace. By His Grace, He abides within the mind."
P0065L17,"O Nanak, God blesses us with the sublime awakening of consciousness; He Himself grants glorious greatness to the Gurmukh. ||8||1||18||"
P0065L18,"Siree Raag, Third Mehl,"
P0065L19,Those who go around acting in egotism are struck down by the Messenger of Death with his club.
P0065L20,"Those who serve the True Guru are uplifted and saved, in love with the Lord. ||1||"
P0065L21,"O mind, become Gurmukh, and meditate on the Naam, the Name of the Lord."
P0065L22,"Those who are so pre-destined by the Creator are absorbed into the Naam, through the Guru's Teachings. ||1||Pause||"
P0065L23,"Without the True Guru, faith does not come, and love for the Naam is not embraced."
P0065L24,"Even in dreams, they find no peace; they sleep immersed in pain. ||2||"
P0065L25,"Even if you chant the Name of the Lord, Har, Har, with great longing, your past actions are still not erased."
P0065L26,The Lord's devotees surrender to His Will; those devotees are accepted at His Door. ||3||
P0065L27,"The Guru has lovingly implanted the Word of His Shabad within me. Without His Grace, it cannot be attained."
P0065L28,"Even if the poisonous plant is watered with ambrosial nectar a hundred times, it will still bear poisonous fruit. ||4||"
P0065L29,Those humble beings who are in love with the True Guru are pure and true.
P0065L30,They act in harmony with the Will of the True Guru; they shed the poison of ego and corruption. ||5||
P0065L31,"Acting in stubborn-mindedness, no one is saved; go and study the Simritees and the Shaastras."
P0065L32,"Joining the Saadh Sangat, the Company of the Holy, and practicing the Shabads of the Guru, you shall be saved. ||6||"
P0065L33,"The Name of the Lord is the Treasure, which has no end or limitation."
P0065L34,The Gurmukhs are beauteous; the Creator has blessed them with His Mercy. ||7||
P0065L35,"O Nanak, the One Lord alone is the Giver; there is no other at all."
P0065L36,"By Guru's Grace, He is obtained. By His Mercy, He is found. ||8||2||19||"
P0066L01,"Siree Raag, Third Mehl,"
P0066L02,"The soul-bird in the beautiful tree of the body pecks at Truth, with love for the Guru."
P0066L03,"She drinks in the Sublime Essence of the Lord, and abides in intuitive ease; she does not fly around coming and going."
P0066L04,"She obtains her home within her own heart; she is absorbed into the Name of the Lord, Har, Har. ||1||"
P0066L05,"O mind, work to serve the Guru."
P0066L06,"If you walk in harmony with the Guru's Will, you shall remain immersed in the Lord's Name, night and day. ||1||Pause||"
P0066L07,The birds in the beautiful trees fly around in all four directions.
P0066L08,"The more they fly around, the more they suffer; they burn and cry out in pain."
P0066L09,"Without the Guru, they do not find the Mansion of the Lord's Presence, and they do not obtain the Ambrosial Fruit. ||2||"
P0066L10,"The Gurmukh is like God's tree, always green, blessed with the Sublime Love of the True One, with intuitive peace and poise."
P0066L11,"He cuts off the three branches of the three qualities, and embraces love for the One Word of the Shabad."
P0066L12,The Lord alone is the Ambrosial Fruit; He Himself gives it to us to eat. ||3||
P0066L13,"The self-willed manmukhs stand there and dry up; they do not bear any fruit, and they do not provide any shade."
P0066L14,Don't even bother to sit near them-they have no home or village.
P0066L15,"They are cut down and burnt each day; they have neither the Shabad, nor the Lord's Name. ||4||"
P0066L16,"According to the Lord's Command, people perform their actions; they wander around, driven by the karma of their past actions."
P0066L17,"By the Lord's Command, they behold the Blessed Vision of His Darshan. Wherever He sends them, there they go."
P0066L18,"By His Command, the Lord, Har, Har, abides within our minds; by His Command we merge in Truth. ||5||"
P0066L19,The wretched fools do not know the Lord's Will; they wander around making mistakes.
P0066L20,They go about their business stubborn-mindedly; they are disgraced forever and ever.
P0066L21,Inner peace does not come to them; they do not embrace love for the True Lord. ||6||
P0066L22,"Beautiful are the faces of the Gurmukhs, who bear love and affection for the Guru."
P0066L23,"Through true devotional worship, they are attuned to Truth; at the True Door, they are found to be true."
P0066L24,Blessed is their coming into being; they redeem all their ancestors. ||7||
P0066L25,All do their deeds under the Lord's Glance of Grace; no one is beyond His Vision.
P0066L26,"According to the Glance of Grace with which the True Lord beholds us, so do we become."
P0066L27,"O Nanak, the Glorious Greatness of the Naam, the Name of the Lord, is received only by His Mercy. ||8||3||20||"
P0066L28,"Siree Raag, Third Mehl,"
P0066L29,The Gurmukhs meditate on the Naam; the self-willed manmukhs do not understand.
P0066L30,The faces of the Gurmukhs are always radiant; the Lord has come to dwell within their minds.
P0066L31,"Through intuitive understanding they are at peace, and through intuitive understanding they remain absorbed in the Lord. ||1||"
P0066L32,"O Siblings of Destiny, be the slaves of the Lord's slaves."
P0066L33,Service to the Guru is worship of the Guru. How rare are those who obtain it! ||1||Pause||
P0066L34,"The happy soul-bride is always with her Husband Lord, if she walks in harmony with the Will of the True Guru."
P0066L35,"She attains her Eternal, Ever-stable Husband, who never dies or goes away."
P0066L36,"United with the Word of the Shabad, she shall not be separated again. She is immersed in the Lap of her Beloved. ||2||"
P0066L37,"The Lord is Immaculate and Radiantly Bright; without the Guru, He cannot be found."
P0066L38,He cannot be understood by reading scriptures; the deceitful pretenders are deluded by doubt.
P0066L39,"Through the Guru's Teachings, the Lord is always found, and the tongue is permeated with the Sublime Essence of the Lord. ||3||"
P0066L40,"Emotional attachment to Maya is shed with intuitive ease, through the Guru's Teachings."
P0067L01,"Without the Shabad, the world wanders lost in pain. The self-willed manmukh is consumed."
P0067L02,"Through the Shabad, meditate on the Naam; through the Shabad, you shall merge in Truth. ||4||"
P0067L03,"The Siddhas wander around, deluded by Maya; they are not absorbed in the Samaadhi of the Lord's Sublime Love."
P0067L04,The three worlds are permeated by Maya; they are totally covered by it.
P0067L05,"Without the Guru, liberation is not attained, and the double-mindedness of Maya does not go away. ||5||"
P0067L06,What is called Maya? What does Maya do?
P0067L07,These beings are bound by pleasure and pain; they do their deeds in egotism.
P0067L08,"Without the Shabad, doubt is not dispelled, and egotism is not eliminated from within. ||6||"
